_id,INDEX_,ARREST_YEAR,DIVISION,HOOD_158,NEIGHBOURHOOD_158,SEX,AGE_COHORT,AGE_GROUP,CATEGORY,SUBTYPE,ARREST_COUNT
1,301,2014,D11,087,High Park-Swansea (87),Male,<18,Youth,Total Arrests,Total Arrests,6
2,302,2014,D11,087,High Park-Swansea (87),Male,<18,Youth,Controlled Drugs and Substances Act,Other,2
3,303,2014,D11,087,High Park-Swansea (87),Male,<18,Youth,Other Criminal Code Violations,Other,3
4,304,2014,D11,087,High Park-Swansea (87),Male,<18,Youth,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
5,305,2014,D11,087,High Park-Swansea (87),Male,<18,Youth,Crimes Against Property,Break and Enter,1
6,306,2014,D11,087,High Park-Swansea (87),Male,<18,Youth,Crimes Against the Person,Assaults,1
7,307,2014,D11,087,High Park-Swansea (87),Male,18 to 24,Adult,Crimes Against the Person,Robbery,1
8,308,2014,D11,087,High Park-Swansea (87),Male,18 to 24,Adult,Crimes Against Property,Theft Over $5000,1
9,309,2014,D11,087,High Park-Swansea (87),Male,18 to 24,Adult,Criminal Code Traffic,Other,1
10,310,2014,D11,087,High Park-Swansea (87),Male,18 to 24,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1
11,311,2014,D11,087,High Park-Swansea (87),Male,18 to 24,Adult,Criminal Code Traffic,Dangerous Driving,1
12,312,2014,D11,087,High Park-Swansea (87),Male,18 to 24,Adult,Other Criminal Code Violations,Other,7
13,313,2014,D11,087,High Park-Swansea (87),Male,18 to 24,Adult,Crimes Against the Person,Other,2
14,314,2014,D11,087,High Park-Swansea (87),Male,18 to 24,Adult,Crimes Against Property,Theft Under $5000,1
15,315,2014,D11,087,High Park-Swansea (87),Male,18 to 24,Adult,Crimes Against Property,Break and Enter,1
16,316,2014,D11,087,High Park-Swansea (87),Male,18 to 24,Adult,Total Arrests,Total Arrests,21
17,317,2014,D11,087,High Park-Swansea (87),Male,18 to 24,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,5
18,318,2014,D11,087,High Park-Swansea (87),Male,18 to 24,Adult,Controlled Drugs and Substances Act,Other,3
19,319,2014,D11,087,High Park-Swansea (87),Male,18 to 24,Adult,Crimes Against Property,Other,5
20,320,2014,D11,087,High Park-Swansea (87),Male,18 to 24,Adult,Crimes Against the Person,Assaults,5
21,321,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Other Criminal Code Violations,Firearm-Related,3
22,322,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2
23,323,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Crimes Against Property,Theft Under $5000,2
24,324,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Controlled Drugs and Substances Act,Other,4
25,325,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Criminal Code Traffic,Fail to Remain,1
26,326,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Criminal Code Traffic,Drive While Impaired / Over 80,4
27,327,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Crimes Against Property,Other,4
28,328,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Crimes Against the Person,Sexual Violations,3
29,329,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Crimes Against the Person,Assaults,18
30,330,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Criminal Code Traffic,Dangerous Driving,1
31,331,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Crimes Against the Person,Other,6
32,332,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Other Criminal Code Violations,Other,11
33,333,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Total Arrests,Total Arrests,35
34,334,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Crimes Against Property,Break and Enter,2
35,335,2014,D11,087,High Park-Swansea (87),Male,25 to 34,Adult,Criminal Code Traffic,Other,1
