_id,YEAR,CATEGORY,TYPE,COUNT_
1,2019,Firearm Types Stolen & Recovered,Pistol,31
2,2014,Firearms Seized,Air Gun,471
3,2019,Firearm Types Stolen & Recovered,Revolver,13
4,2014,Firearms Seized,Rifle ,366
5,2014,Firearms Seized,Pistol,330
6,2019,Firearm Types Stolen & Recovered,Rifle,2
7,2019,Firearm Types Stolen & Recovered,Shotgun,1
8,2014,Firearms Seized,Shotgun,204
9,2014,Firearms Seized,Revolver,156
10,2020,Firearms Seized,Air Gun,585
11,2020,Firearms Seized,Pistol,523
12,2014,Firearms Seized,Starter's Pistol,28
13,2015,Firearm Types Stolen & Recovered,Rifle,6
14,2020,Firearms Seized,Rifle,313
15,2014,Firearms Seized,Toy Gun,27
16,2016,Firearms Seized,Air Gun,588
17,2020,Firearms Seized,Shotgun,170
18,2014,Firearms Seized,Other,15
19,2016,Firearms Seized,Rifle,548
20,2020,Firearms Seized,Revolver,57
21,2014,Firearms Seized,Replica,10
22,2016,Firearms Seized,Pistol,366
23,2020,Firearms Seized,Other,85
24,2014,Firearms Seized,Sawed-off Shotgun,9
25,2016,Firearms Seized,Shotgun,253
26,2020,Firearms Seized,Toy Gun,24
27,2014,Firearms Seized,Combination Gun,6
28,2016,Firearms Seized,Revolver,157
29,2020,Firearms Seized,Sawed-Off Shotgun,14
30,2014,Firearms Seized,Sawed-off Rifle,4
31,2016,Firearms Seized,Other,57
32,2020,Firearms Seized,Starter's Pistol,23
33,2014,Firearms Seized,Submachine Gun ,3
34,2016,Firearms Seized,Starter's Pistol,45
35,2020,Firearms Seized,Antique,2
36,2014,Firearms Seized,Antique ,2
37,2016,Firearms Seized,Toy Gun,26
38,2020,Firearms Seized,Sawed-off Rifle,8
39,2014,Firearms Seized,Machine Gun,1
40,2016,Firearms Seized,Sawed-off Shotgun,25
41,2020,Firearms Seized,Replica,15
42,2014,Guns Reported Stolen to TPS,Handgun,8
43,2016,Firearms Seized,Submachine Gun ,19
44,2020,Firearms Seized,Derringer,1
45,2014,Guns Reported Stolen to TPS,Shotgun,7
46,2016,Firearms Seized,Antique,11
47,2020,Firearms Seized,Commercial Version,9
48,2014,Guns Reported Stolen to TPS,Air Gun,6
49,2016,Firearms Seized,Sawed-off Rifle,9
50,2020,Firearms Seized,Submachine Gun,11
51,2014,Guns Reported Stolen to TPS,Rifle,4
52,2016,Firearms Seized,Replica,8
53,2020,Firearms Seized,Combination Gun,4
54,2014,Guns Reported Stolen to TPS,Replica,1
55,2016,Firearms Seized,Combination Gun,4
56,2020,Guns Reported Stolen to TPS,Air Gun,5
57,2014,Guns Reported Stolen to TPS,Taser,1
58,2016,Firearms Seized,Machine Gun,1
59,2020,Guns Reported Stolen to TPS,Handgun,24
60,2014,Firearm Thefts - Premise Type,Residential,11
61,2016,Guns Reported Stolen to TPS,Handgun,50
62,2020,Guns Reported Stolen to TPS,Shotgun,6
63,2014,Firearm Thefts - Premise Type,Commercial,2
64,2016,Guns Reported Stolen to TPS,Air Gun,30
65,2020,Guns Reported Stolen to TPS,Rifle,8
66,2014,Firearm Thefts - Premise Type,In transit,1
67,2016,Guns Reported Stolen to TPS,Shotgun,4
68,2020,Firearm Thefts - Premise Type,Residential,8
69,2014,Gun Seizures,Crime,557
70,2016,Guns Reported Stolen to TPS,Rifle,3
71,2020,Firearm Thefts - Premise Type,Vehicle,4
72,2014,Gun Seizures,Non-Crime,1075
73,2016,Guns Reported Stolen to TPS,Replica,1
74,2020,Firearm Thefts - Premise Type,Commercial,2
75,2014,Crime Guns - Type,Pistol,200
76,2016,Guns Reported Stolen to TPS,Starter's Pistol,1
77,2020,Firearm Thefts - Premise Type,School,1
78,2014,Crime Guns - Type,Air Gun,146
79,2016,Firearm Thefts - Premise Type,Residential,13
80,2020,Gun Seizures,Crime,663
81,2014,Crime Guns - Type,Rifle,69
82,2020,Gun Seizures,Non-Crime,1181
83,2016,Firearm Thefts - Premise Type,Commercial,6
84,2014,Crime Guns - Type,Revolver,58
85,2016,Firearm Thefts - Premise Type,Vehicle,2
86,2020,Crime Guns - Type,Pistol,367
87,2014,Crime Guns - Type,Shotgun,30
88,2016,Firearm Thefts - Premise Type,Street,1
89,2020,Crime Guns - Type,Air Gun,102
90,2014,Crime Guns - Type,Toy Gun,16
91,2016,Gun Seizures,Crime,509
92,2020,Crime Guns - Type,Rifle,48
93,2014,Crime Guns - Type,Sawed-off Shotgun,9
94,2016,Gun Seizures,Non-Crime,1608
95,2020,Crime Guns - Type,Revolver,45
96,2014,Crime Guns - Type,Starter's Pistol,6
97,2016,Crime Guns - Type,Pistol,199
98,2020,Crime Guns - Type,Shotgun,33
99,2014,Crime Guns - Type,Other,6
100,2016,Crime Guns - Type,Air Gun,105
101,2020,Crime Guns - Type,Sawed-off Shotgun,13
102,2014,Crime Guns - Type,Replica,5
103,2016,Crime Guns - Type,Rifle,49
104,2020,Crime Guns - Type,Other,13
105,2014,Crime Guns - Type,Sawed-off Rifle,4
106,2016,Crime Guns - Type,Revolver,49
107,2020,Crime Guns - Type,Toy Gun,8
108,2014,Crime Guns - Type,Combination Gun,4
109,2016,Crime Guns - Type,Other,26
110,2020,Crime Guns - Type,Sawed-off Rifle,8
111,2014,Crime Guns - Type,Submachine Gun,2
112,2016,Crime Guns - Type,Sawed-off Shotgun,25
113,2020,Crime Guns - Type,Antique,1
114,2014,Crime Guns - Type,Antique,2
115,2016,Crime Guns - Type,Shotgun,23
116,2020,Crime Guns - Type,Derringer,1
117,2014,Crime Guns - Class,Deemed Non-Firearm,182
118,2016,Crime Guns - Type,Toy Gun,10
119,2020,Crime Guns - Type,Submachine Gun,11
120,2014,Crime Guns - Class,Prohibited,174
121,2016,Crime Guns - Type,Sawed-off Rifle,9
122,2020,Crime Guns - Type,Starter's Pistol,7
123,2014,Crime Guns - Class,Restricted,110
124,2016,Crime Guns - Type,Starter's Pistol,8
125,2020,Crime Guns - Type,Commercial Version,6
126,2014,Crime Guns - Class,Non-Restricted,89
127,2016,Crime Guns - Type,Antique,4
128,2020,Crime Guns - Class,Prohibited,318
129,2014,Crime Guns - Class,Antique,2
130,2016,Crime Guns - Type,Replica,1
131,2020,Crime Guns - Class,Deemed Non-Firearm,129
132,2014,Recovered Firearms,Toronto,9
133,2016,Crime Guns - Type,Combination Gun,1
134,2020,Crime Guns - Class,Restricted,144
135,2014,Recovered Firearms,Outside Toronto,17
136,2016,Crime Guns - Class,Prohibited,186
137,2020,Crime Guns - Class,Non-Restricted,67
138,2014,Firearm Types Stolen & Recovered,Pistol,15
139,2016,Crime Guns - Class,Deemed Non-Firearm,141
140,2020,Crime Guns - Class,Antique,5
141,2014,Firearm Types Stolen & Recovered,Rifle,5
142,2016,Crime Guns - Class,Restricted,119
143,2020,Recovered Firearms,Toronto,7
144,2014,Firearm Types Stolen & Recovered,Revolver,3
145,2016,Crime Guns - Class,Non-Restricted,60
146,2016,Crime Guns - Class,Antique,3
147,2016,Recovered Firearms,Toronto,6
148,2016,Recovered Firearms,Outside Toronto,18
149,2016,Firearm Types Stolen & Recovered,Pistol,15
150,2016,Firearm Types Stolen & Recovered,Revolver,7
151,2014,Firearm Types Stolen & Recovered,Submachine Gun,2
152,2014,Firearm Types Stolen & Recovered,Shotgun,1
153,2015,Firearms Seized,Air Gun,600
154,2015,Firearms Seized,Rifle,515
155,2015,Firearms Seized,Pistol,352
156,2015,Firearms Seized,Shotgun,224
157,2015,Firearms Seized,Revolver,178
158,2018,Firearm Types Stolen & Recovered,Shotgun,1
159,2015,Firearms Seized,Replica,37
160,2015,Firearms Seized,Starter's Pistol,35
161,2015,Firearms Seized,Other,34
162,2015,Firearms Seized,Toy Gun,31
163,2015,Firearms Seized,Sawed-off Shotgun,13
164,2015,Firearms Seized,Sawed-off Rifle,9
165,2015,Firearms Seized,Submachine Gun ,8
166,2015,Firearms Seized,Antique,5
167,2015,Firearms Seized,Combination Gun,4
168,2015,Guns Reported Stolen to TPS,Air Gun,13
169,2015,Guns Reported Stolen to TPS,Replica,13
170,2015,Guns Reported Stolen to TPS,Handgun,8
171,2015,Guns Reported Stolen to TPS,Rifle,5
172,2015,Guns Reported Stolen to TPS,Shotgun,3
173,2015,Firearm Thefts - Premise Type,Residential,10
174,2015,Firearm Thefts - Premise Type,Vehicle,5
175,2015,Firearm Thefts - Premise Type,Commercial,1
176,2015,Firearm Thefts - Premise Type,Other,1
177,2015,Gun Seizures,Crime,579
178,2015,Gun Seizures,Non-Crime,1466
179,2015,Crime Guns - Type,Pistol,165
180,2015,Crime Guns - Type,Air Gun,125
181,2015,Crime Guns - Type,Rifle,117
182,2015,Crime Guns - Type,Revolver,68
183,2015,Crime Guns - Type,Shotgun,42
184,2015,Crime Guns - Type,Sawed-off Shotgun,13
185,2015,Crime Guns - Type,Starter's Pistol,12
186,2015,Crime Guns - Type,Other,11
187,2015,Crime Guns - Type,Sawed-off Rifle,9
188,2015,Crime Guns - Type,Toy Gun,8
189,2015,Crime Guns - Type,Submachine Gun,6
190,2015,Crime Guns - Type,Replica,1
191,2015,Crime Guns - Type,Combination Gun,1
192,2015,Crime Guns - Type,Antique,1
193,2015,Crime Guns - Class,Prohibited,160
194,2015,Crime Guns - Class,Non-Restricted,156
195,2015,Crime Guns - Class,Deemed Non-Firearm,154
196,2015,Crime Guns - Class,Restricted,101
197,2015,Crime Guns - Class,Antique,6
198,2015,Crime Guns - Class,Unknown,2
199,2015,Recovered Firearms,Toronto,2
200,2015,Recovered Firearms,Outside Toronto,14
