OBJECTID,Zone,Shape__Area,Shape__Length
1,512,3469399.4453125,8206.957650777
2,554,8617951.46484375,16279.0434939724
3,555,13538338.7070313,17204.2140029709
4,556,15692462.8984375,51633.4898111079
5,551,18592237.4570313,20519.2180761298
6,552,16143802.0507813,17961.4937019821
7,553,5901367.29296875,10529.0829175714
8,111,14257411.7421875,18126.9999788196
9,112,4463791.69921875,9886.09331487108
10,113,11291544.4960938,15524.5137303564
11,114,5680187.0546875,9629.78949696845
12,121,7562266.4375,12336.6761993407
13,122,8714590.4921875,14014.1022464852
14,123,8376279.12890625,12436.7803135694
15,124,6550399.234375,10856.1353914755
16,125,11641385.2539063,15865.9181420493
17,126,4572653.30078125,9177.37462694494
18,131,13165373.6367188,14990.6694051107
19,132,6819108.5546875,11273.3393865985
20,133,8899876.265625,12265.3867861304
21,134,6707364.42578125,13313.4319293336
22,141,3721034.9140625,8900.80564693858
23,142,5844589.1875,10330.2169211867
24,143,3123713.921875,8868.38561964773
25,144,6362085.140625,14412.1841071453
26,145,5719705.5390625,12606.9438130163
27,146,2312850.5859375,9001.86936447078
28,221,37014845.859375,27323.9347762189
29,222,46392457.5859375,40146.7568650167
30,223,31536805.296875,29692.5887690912
31,224,15153500.2851563,31542.152931178
32,231,42646541.0625,35119.2806986679
33,232,25832805.8554688,29326.270900308
34,233,13711568.09375,26275.3219710914
35,234,28178137.1367188,38268.2229692698
36,311,18049505.0117188,19972.6605798515
37,312,16435336.0742188,17405.3514333017
38,313,11609747.2695313,18604.154954218
39,314,11478944.953125,18223.2996786275
40,315,14021040.2890625,16836.394011035
41,316,10194576.4140625,18925.3007490042
42,321,19948696.0390625,23688.0311283914
43,322,19757812.140625,19585.4291820606
44,323,34062755.3320313,31280.1796706938
45,324,17500526.90625,21187.3001946427
46,325,25809433.59375,23928.7771628857
47,331,31886132.2929688,27564.349605548
48,332,17434321.203125,19752.9136949498
49,333,51923828.4296875,33055.7115334299
50,411,27570117.0703125,21957.9130465775
51,412,15669048.59375,18330.6297879316
52,413,13149753.1289063,16702.1677785165
53,414,12312251.0429688,19104.9957890258
54,415,16694818.9257813,35014.6294622003
55,421,24281892.546875,23705.4069191191
56,422,22018454.5820313,20816.7020842007
57,423,52781194.703125,34439.7847257752
58,424,63447262.984375,38290.8410801783
59,431,16448077.9882813,19359.5781339504
60,432,23306099.2109375,27600.4427329658
61,433,16726702.9296875,20117.9186427091
62,434,26533748.4375,29183.6504346773
63,435,30859265.3125,30720.138198671
64,511,1435853.62109375,5225.5011327508
65,513,1213310.125,5199.07111395245
66,514,1477172.671875,4887.64044337455
67,515,8842066.2734375,21448.6745677677
68,521,3311620.51171875,8138.16572920278
69,522,1791760.234375,6306.53609880829
70,523,2573492.9921875,8383.22307419569
71,524,1901055.4453125,8076.42405044471
72,531,17790105.0976563,20083.4599794661
73,532,18904352.3945313,24490.8979886633
74,533,3085280.328125,7808.62287315777
75,534,20115513.96875,25728.2910161654
76,581,8047518.9921875,19557.7539213496
